,DRUG_ID,DRUG_NAME,DISEASES,PHASE,Name,ontologyTermName,ontologyTermIRI,validated,review,ID
975,4483,carfilzomib,Small-cell lung cancer , Phase 1/2,small cell lung cancer,Small cell lung carcinoma,http://purl.obolibrary.org/obo/HP_0030357,False,False,HP:0030357
2136,1043,ergotamine,Headache , Approved,headache,Headache,http://purl.obolibrary.org/obo/HP_0002315,False,False,HP:0002315
2168,812,desipramine,Attention deficit hyperactivity disorder , Approved,attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,http://purl.obolibrary.org/obo/HP_0007018,False,False,HP:0007018
2389,4225,axitinib,Renal cell carcinoma , Approved,renal cell carcinoma,Renal cell carcinoma,http://purl.obolibrary.org/obo/HP_0005584,False,False,HP:0005584
2632,4175,linagliptin,Type-2 diabetes , Approved,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,False,False,HP:0005978
2633,4175,linagliptin,Type-2 diabetes , Approved,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,False,False,HP:0005978
2871,5431,tirbanibulin,Prostate cancer , Phase 2,prostate cancer,Prostate cancer,http://purl.obolibrary.org/obo/HP_0012125,False,False,HP:0012125
3772,1683,menadione,Prostate cancer , Phase 2,prostate cancer,Prostate cancer,http://purl.obolibrary.org/obo/HP_0012125,False,False,HP:0012125
6255,4175,linagliptin,Type 2 diabetes , Approved,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,False,False,HP:0005978
6256,4175,linagliptin,Type 2 diabetes , Approved,type 2 diabetes,Type II diabetes mellitus,http://purl.obolibrary.org/obo/HP_0005978,False,False,HP:0005978
6582,789,decamethonium,Muscle spasm , Approved,muscle spasm,Hyperkinetic movements,http://purl.obolibrary.org/obo/HP_0002487,False,False,HP:0002487
6768,1989,omapatrilat,Hypertension , Terminated,hypertension,Hypertension,http://purl.obolibrary.org/obo/HP_0000822,False,False,HP:0000822
7139,176,amiodarone,Ventricular tachycardia , Approved,ventricular tachycardia,Ventricular tachycardia,http://purl.obolibrary.org/obo/HP_0004756,False,False,HP:0004756
7168,2815,verapamil,Hypertension , Approved,hypertension,Hypertension,http://purl.obolibrary.org/obo/HP_0000822,False,False,HP:0000822
8107,2994,glucagon,Hypoglycemia , Phase 1,hypoglycemia,Hypoglycemia,http://purl.obolibrary.org/obo/HP_0001943,False,False,HP:0001943
8635,2561,tamoxifen,Breast cancer , Approved,breast cancer,Breast carcinoma,http://purl.obolibrary.org/obo/HP_0003002,False,False,HP:0003002
8870,1045,erlotinib,Colon cancer , Phase 2,colon cancer,Colon cancer,http://purl.obolibrary.org/obo/HP_0003003,False,False,HP:0003003
9090,257,atorvastatin,Hyperlipidemia , Approved,hyperlipidemia,Hyperlipidemia,http://purl.obolibrary.org/obo/HP_0003077,False,False,HP:0003077
9193,960,doxorubicin,Hepatocellular carcinoma , Phase 3,hepatocellular carcinoma,Hepatocellular carcinoma,http://purl.obolibrary.org/obo/HP_0001402,False,False,HP:0001402
